Timestamp;Name the one aspect that you want to improve the most about your health or well-being.;Why do you want to improve it?;In your case, what can you try to improve it?;How would you assess if this improves the aspect you named?;What is your gender?;Which country do you live in?;How old are you?;
11.12.2020 20:04:25;productivity;to be productive;intelligence, measuring time wasted, measuring focus;chess score to measure intelligence, mind band to measure alpha waves and focus, just basic stats analysis on computer use like rescuetime;Male;US;35;
11.13.2020 18:51:58;Drinking herbal tea every day and much water ;I feel better if I am trying ;Eat healthier;I would feel more comfortable;Female;Germany;20;
11.13.2020 19:45:09;physical fitness;stay healthy, loose weight, be flexible, stay fit, stay young;doing exercises, walk al least 10.000 steps, take stairs instead of elevator, eating greens, drink enough water;I don't know;Female;Germany;28;
11.14.2020 22:31:31;Brain condition ;Avoid Alzheimer;stay healthy ;stay active ;Female;Canada ;42;
11.15.2020 20:46:53;Fitness Level;To be able to maintain good mobility;Do a lot of walking;See if I get out of breath when I walk fast;Male;Canada ;63;
11.16.2020 2:59:52;Losexweight;"
Better health and well being";Exercise more;General day to day well being;Female;Canada ;60;
11.16.2020 12:01:41;Fitness;Currently at suboptimal levels;Being more active;Metrics from various exercises;Male;Germany;23;
11.16.2020 18:54:17;Rückenschmerzen;weil es schmerzt;mehr Bewegung, spezielle Übungen;not sure;Female;Germany;28;
11.17.2020 10:42:04;Mental exertion;Because it slows me down and affects my work and physical well being;Motivate myself to priortize and adopt activities that I know help me calm down;Usually it helps me a lot;Female;Germany;34;
11.17.2020 13:03:35;Nutrition;I believe that what and how we eat is central for our physical and mental well-being. I know too little about it yet to understand the connection e.g. from food over digestive processes to the brain.;Find reliable sources to get information what the best nutrition is (I find that very hard to do figure out), follow this recommendations and stick to that diet (which is also very hard to do);track changes and compare to the previous diet: have mood diary, a poop diary, track weight, ... ;Female;Norway;35;
11.17.2020 13:15:26;My posture;To improve overall feeling of well being ;Better home-office setup, more sport;unclear;Male;Germany;38;
11.17.2020 15:49:43;Stress, back pain;Because it is impairing my day to day life and happiness  ;Meditation, exercise, relaxation, prioritizing, getting up regularly ;Regularly monitor the level of impairment;Female;Germany;34;
11.17.2020 16:18:43;Tiredness;keeps me from enjoying the things I do;"- Make sure I get to sleep at 12am for the latest
- Plan short walks outside during a working day";"- Count how many times I hit snooze when my alarm clock goes off in the morning
- Assess my motivation level for what I am currently doing before and after the walks";Female;Germany;25;
11.17.2020 18:10:46;I want to gain upper body strength. ;I want to feel stronger and more independent;Exercise (cardio), lift weights every day, do planks and pushups every day;When I can lift a heavy object by myself, when I can flex my muscles and there's definition;Female;US;41;
11.18.2020 11:06:36;Physical condition;Exercise;Regular weekly exercise at home ;Check for performance (e.g. push-up count), body composition (body fat / muscle content);Female;Germany;27;
11.18.2020 14:33:16;To experience less stress;"Since it affects other health related topics - due to stress I do not eat healthy (sometimes also forget to eat), do less sports because there is ""no time""";Work less hours or communicate in my work that I can not handle the tasks in my regular working times, better time management and structure for healthy meals and physical activities, to go more outside  ;"I have an app the counts the amount of km that I walked every day, maybe a diary where I can reflect about the stress and healthy life with questions such ""how many fruits / vegetables did you eat today?"" also questions that reflect the level of the stress and the main factors that cause it.";Female;Germany;31;
11.18.2020 15:32:25;Food and sports/fitness;i sit too much in my job;For the last 10 years I have been going to play basketball every week. Because of Corona I miss this regular exercise very much. Since I am very busy at work, I also spend less time riding my bike. I'm not a jogger so I only go swimming, but this is not possible anymore. I can only do exercises at home if friends and acquaintances motivate me to do so. Besides, sport is always a way for me to leave my apartment, which I need to be able to concentrate on things again.;My back would no longer hurt in the night. My sleep would be deeper and more relaxed. I would be happier and have more energy to do other things.      ;Female;Germany;32;
11.18.2020 15:33:26;Inactivity;It makes me tired;Get better routines. Use triggers. Creating awareness. Celebrate the benefits.;Give myself a rating on it from 0 to 10 every day and see if there is a positive smoothed trend upwards.;Male;Germany;33;
11.18.2020 17:19:38;hormones & food;hormones do a lot to our bodies and nutrition has such a huge impact;"- eat well
- train th body
- listen, listen, listen to my body and my menstruation cycle
- see the signs of my body";Better understanding of diseases, of behaviour,...;Female;Germany;23;
11.18.2020 18:02:20;Throat;When I am sick I nearly always have throat pain, I already lost my tonsils for that.;Increase the general strength of the immune system, sauna, hot bath, tea.;If I have not had throat issues for 12 or more month.;Male;Germany;27;
11.18.2020 22:24:02;Fitness 💪 and endurance (in that order);to boast immune system and longevity And also to increase cobcentraciton capacity at work;Keep searching for inspiring ways to “want” to do it. ;I would not assess that, right now ;Female;Germany;35;
11.18.2020 22:40:29;sleeping;wake up too early;pills, eat earlier dinner, be more active during the day;hours slept;Male;Germany;37;
11.19.2020 15:24:59;general fitness;With the lockdown and all the sitting around in home office, I feel more and more like a potatoe;Do more sports;performance on ergometer?;Female;Germany;29;
11.19.2020 15:30:14;Reduce stress level;Not good for the overall well-being and lowers the efficiency;- plan free time (fix blocks);"feeling better; do not have the feeling to be constantly under pressure ";Female;Germany;22;
11.19.2020 15:30:46;fitness;try to work out;personal trainer ;Overall feeling, body weight;Female;Germany;27;
11.19.2020 16:49:16;My weight;Because I am underweight.;Maybe trying out different food and exercises.;Checking weight after every two weeks.;Female;Bangladesh;26;
11.19.2020 22:58:32;Nutrition;it is important for my physical and mental health;diet and sports;good change;Female;Germany;27;
11.20.2020 11:13:32;Daily routine and sleep rhythm;I think it will improve my sleep and therefore my health ;Going to bed and get up every day at the same time, having eating times, having a week schedule;I guess it is easier to be efficient at work/studies, satisfaction is higher ;Female;Germany;25;
11.20.2020 14:43:34;Central Health data profile;Hassle and cost attached with taking data from one provider to other.;Have a central shareable ecosystem of digital health database.;Gives easy access on phone  and shareable through it.;Male;Germany;32;
11.20.2020 16:30:02;Mental health;Because it's important to maintain our mental health, yet the access or service is limited. Stigmatisation makes it worse too.;To improve it, I try to read book about it, do my hobbies, discuss with colleagues, search about it on the website.;If I can feel better about myself and can function well in my daily life, I think it means my mental health has improved. ;Female;Indonesia ;31;
11.21.2020 0:42:37;Age slower;More life, more happiness ;Better habits ;?;Male;Germany;31;
11.21.2020 3:16:20;Delayed Sleep;I want to keep myself fit mentally and physically;Do some physical exercise, take dinner early, go to bed early ;This is a common problem and the treatment has become fruitful for a lot of people. If I can continue, I think it will work for me also.;Male;Bangladesh;27;
11.21.2020 9:42:02;Gut;Get rid of pain and hormone dysfunctions ;Sports, food adjustment, medicine.;Better life quality ;Male;Germany;31;
11.21.2020 20:53:56;Sleep is one aspect which I would like to improve;Because with sleep deficiency there arises a lot of health issues. Good quality is very necessary for good health. ;I can try to improve by trying to find out the cause what is the real factor for low quality sleep;develop methods or techniques to reduce stress and improve sleep quality. Monitor with help of apps whether there is sleep apnea and what is the quality of sleep;Female;Germany;37;
11.22.2020 2:42:41;Calmness of mind;There's  a lot of noise and distracting chaos in my mind and I've had glimpses of stillness and how drastically those pauses redirect and shift my health throughout each day;Structured, grounded meditations (using Sam Harris' Waking Up App), various forms of Breath Work (holotropic, neurodynamic and alkaline - access alkaline through the Wim Hof Method Training);I never get sick anymore, on days that I follow my morning routine of meditation & breathwork I am significantly more efficient - I get more done, I am more present in each activity, the world makes more sense and I am a kinder, more affectionate person towards everyone and everything.;Female;Canada ;25;
11.22.2020 11:01:54;Qualtiy of food;Most of the health related things are related to food;Getting  as much organic and healthier food, cooking good for health food;Weight is in good, stamina is good;Male;Germany;30;
11.22.2020 18:27:38;nothing;I am fine;n.a.;n.a.;Male;Germany;29;
11.22.2020 21:49:07;My back;It often hurts;Posture correction, sports;Minimize stress;Female;Germany;28;
11.23.2020 8:09:04;To be more fit/sportive overall;Because it’s healthy and it’ll help me to go upstairs stairs more easy;"Workout more(gym, home-workout, jogging)
Go places by foot
Eat healthy(more vegetables, less greasy food)";Not being out of breath at the top of the staircase, lift more heavy things;Male;Germany;19;
11.23.2020 9:42:06;Physical Activity;Healthier lifestyle;Increase motivation, rituals, professional trainers, generate insights/stats;Digital stats, fitness tracker, self-observed activity, mood journal;Male;Germany;28;
11.23.2020 12:49:50;Fitness;Overweight ;Exercise and proper diet;Reduction of fats and increase in muscle mass;Male;Malaysia ;26;
11.23.2020 12:50:19;Immune system;I'm very weak and easy to fall sick;Take consistent supplement and live a healthy lifestyle;Lesser hospital visit yearly;Female;Malaysia ;28;
11.23.2020 12:51:47;Digestive;Not get too bloated ;"- drink hot drinks/green tea 
- stand / take a short walk after eating 
- avoid soft drinks ";Stomach not bloated ;Female;Malaysia ;23;
11.23.2020 12:55:30;Stronger immune;To have better quality of life;Eat healthy, rest more;Do a health test;Female;Malaysia ;37;
11.23.2020 13:56:53;Weight;To look better and be healthy;Watch my diet;That it would better my lifestyle and well being;Female;South Africa;57;
11.23.2020 13:57:43;Lower blood sugar;It affects my body negatively Tingling in my feet and waking up at night to urinate ;Eat fewer carbs and minimise sugar and processed foods;Be careful with what I eat, only buy wholesome foods and exercise ;Male;South Africa;73;
11.23.2020 14:13:21;Fitness ;It is my vessel, I live in it. ;Sport, diet, reduse stress, SLEEP;Start to activate... Put it into practice.. Motivation is what I require ;Female;Germany;56;
11.23.2020 14:58:15;My weight;Because it hampers my lifestyle;Avoid carbohydrates and get more exercise, coupled with intermittent fasting, better sleep and vitamin and mineral supplements;I will see the kilos disappearing, fit into my clothes better and feel better overall;Female;Germany;59;
11.23.2020 17:00:40;Endurance;To have more power in general, it's good for my health in general, and also when I do sports it would be nice to have power for longer time.;Go jogging outside. Play tennis. Do some exercises at home;Maybe set up a race and stop the time. Or see how long I last in a certain physical exercise.;Male;Germany;35;
11.23.2020 17:33:48;EYES;MACULAR Degeneration ;NONE;NOT HEALABLE;Male;South Africa;84;
11.23.2020 17:38:45;concentration;because its not there;Work in a room without distractions;effectiveness, productivity, efficiency ;Female;Germany;31;
11.23.2020 19:37:04;I want to loose a bit weight and gain some muscles ;To feel better in my body ;Sport, weight sport, healthy food ;I would feel much better ;Female;Germany;21;
11.23.2020 19:44:22;Weight;Because I am overweight;Better eating;Weight lost;Male;Germany;22;
11.23.2020 20:03:18;Kräftigung des Oberkörpers;Selbstbewußtsein;Rückenschule;Wenn ich mehr Muskel habe;Male;Germany;56;
11.23.2020 20:10:17;Sleep;Because it impacts my everyday life (bad attentiveness, tiredness, fluctuating energy levels);"Have a more regular sleep cycle
Try to go to bed early
Don‘t use my phone before going to bed";I would mostly just feel the difference, yet I could also assess it by keeping track of the time I went to bed, the time I woke up, and my overall mood + energy every single day.;Female;Germany;21;
11.23.2020 20:26:00;Fitness/condition ;Asthma Patient and to stay fit in general because in the Worklife you forget about your Health ;Try to be as active as possible. I can try to remember that I need to do more Sports. I can look at my statistics to see how much I’ve bettered myself and get motivated by that.;I think these things that I named are very important because most of the time when there are apps or something they only remind me of staying fit while using the app but not during the day. And I can loose Motivation very quick, so to see that I have immediate results or achieved to just finish the task for the day that can help me to stay active for a longer period of time even if my condition has not drastically improved yet. As an asthma patient these results are also handy for doctors visits. ;Female;Germany;20;
11.23.2020 20:37:22;Weight;Lifestyle ;Fitness, change in diet;App;Male;Germany;19;
11.23.2020 20:41:14;Level of personal satisfaction with life.;It's a determinant for other measures that could be taken.;Serving more effectively, being kind, maintaining or creating joy.;Through self-awareness.;Male;Canada ;79;
11.23.2020 20:54:48;My eating behavior/ weight;Due to unhealthy food I got issues with my skin, stomach and weight but I’m to lazy to study healthy eating ;Doctor appointments or more information about an healthy eating behavior ;Idk if you mean the App by saying „this“, but I guess it would conclude a general better well-being and less unnecessary doctor appointments ;Female;Germany;19;
11.23.2020 20:55:33;More physical activity;Feeling better/ healthy;Take time;Pulse, weight, blood pressure;Female;Germany;45;
11.23.2020 21:05:48;More physical exercice;To feel better, fitter. Less stress, better work-life balance specially when aging.;Try to have discipline to make exercice a  daily routine. Through a coach maybe;From my physical well being, i.e. reduce backpain, feeling fitter, having more energy for other things. Measuring results through an app.;Female;Germany;48;
11.23.2020 21:31:49;Mindset;Mindest influences everything ;Meditation, Coaching ;App;Male;Germany;21;
11.24.2020 11:15:57;My circadian rhythm (sleeping waking time) ;Easily gets disrupted (too much blue light exposure due to overuse of electronic devices) ;"Use blue light filter
Try not to use electronic devices a couple of hours before sleep
Etablishing steady morning and evening routines 
Occasionally use light sleeping pills to readjust ";It all only works to a certain degree, there is always some sort of disruption. It would be helpful if technology in itself would protect more from the damage it does to the circadian rhythm of humans;Male;China;25;
11.24.2020 11:43:01;Concentration ;To learn longer and more stuff;Reading, Varouis exercises,... ;Good;Male;Germany;20;
11.24.2020 12:27:13;Access to valuable information;In order to decrease going to the doctor for advice;Do a lot of research - waste of time;.;Male;Germany;19;
11.24.2020 13:49:52;Fitness levels;I have been fitter than I am currently;Run more than my current 5 Kms, do sprint training, increase gym to 5 x a week not twice. Cycle longer than my usual 30kms.;Fitness assessment and gauge it by wether you can do longer distances after say 1 montj;Female;South Africa;55;
11.24.2020 16:28:05;Not smoking;Feel ill;Anti depressants ;More energy;Male;South Africa;53;
11.24.2020 17:17:24;Inflammation of the Achilles tendon;Because it decreases mobility and quality of life. ;Physiotherapy, specialised foot exercises, perhaps medication.;I do not understand this question. ;Female;Germany;57;
11.25.2020 8:51:58;Tooth and gum health. ;Because the thought of dental implants or otherwise is terrifying. ;Book cleaning appointments more often, brush even more;If my gums are not inflamed, and the stress associated with it is reduced. ;Female;US;30;
11.25.2020 12:13:20;My skin;I’m unhappy with its appearance ;Visit a doctor;Visually ;Female;China;27;
11.25.2020 12:19:44;Reduce headaches and eye fatigue;Headaches affect my work and social life negatively ;Sleep as early as possible and as much as possible. Take magnesium and other vitamins that will boost immune system. Exercise regularly. Meditate regularly.;I log my headaches and other symptoms in an app for review and observation;Female;China;29;
11.25.2020 13:48:37;Lose weight;Breathing diffilculties during physical exertion such climbing stairs, carrying loads, doing sports, ....;Change eating and drinking habits, overall more exercise and sport, ;Weight control;Male;Germany;56;
11.25.2020 13:52:08;Physical health ;Be prepared for old age;Exercise and a better diet, sleep, stay hydrated;"General feeling? Staying alert, better focus and concentration. Ability to remember things. Exercise help a lot in tracking my improved aspect I suppose? Through endurance and weights. Though in terms of how my current health is going to impact my future health, there’s no way of measuring as far as I’m
Concerned! ";Female;China;33;
11.25.2020 15:26:53;Self esteem;It affects every part of my life! Relationships, career, hobbies, etc;A lot of therapy and setting running goals for myself;If I have more control over my thoughts about myself during conflict or in challenging situations ;Female;China;25;
11.25.2020 20:05:03;strength/endurance;cause I could do more things, would probably feel great about this achievement and would get pain less quickly;well, most of all: a lot more training!;if training the same stuff becomes easier, if I get tired later when being active;Female;Germany;31;
11.25.2020 23:13:18;Exercise more often;Exercise is most important  & improves well being,boosts your immune system & one feels  well  & more energetic after exercising.;"Need to commit to a planned exercise regime & try to exercise 3- 5times per week.
Arrange to meet up & exercise with a friend to prevent from cancelling exercise  programme.";By Committing to a regular exercise program,it will improve your overall  health & feeling of well being,boost your immune system,promote weight loss,lower blood pressure, & improve mental health.;Female;South Africa;59;
11.26.2020 10:28:09;Digestion;To strengthen my immune system;"Change eating habits; change diet , take some probiotics ";Change of stool consistency, more energy ;Female;Germany;52;
11.27.2020 8:09:53;Cardiovascular well being;Genetically this has been life limiting in our family;"To attempt to maintain a healthy lifestyle with a focus on cardiovascular health.
Attention to diet, healthy cooking, gentle exercise, psychological wellbeing, mindfulness, attention to stress levels.";Abilty to be active , function in a work environment, maintain independent living, keep out of hospital.;Female;United Kingdom;55;
11.27.2020 9:43:45;Getting more sporty;Because I feel fitter - physically and mentally - when I’m doing sports regularly;"|| Jogging in the morning: in the morning, because I don’t have enough motivation in the evening; short distances during workdays to be physically relaxed (no urge to move all the time) but not exhausted and tired; long(we) distances on the days off to improve the fitness level
|| Drinking enough water: without Having good biological knowledge but only sports blogs I try to follow the rule 30-35ml water per kilogram and additional 500-1000ml for each workout to not dehydrate";I would assess it very good.;Male;Germany;28;
11.27.2020 22:50:36;My fitness;Exercise more;At home work outs ;Measure your self ;Female;United Kingdom;18;
11.28.2020 13:35:16;Fitness;To loose weight ;Walk more, eat healthy ;Monitor weight,  change in clothes fit;Female;United Kingdom;49;
11.28.2020 13:37:08;Fitness;To loose weight and tone up ;"Sticking to a diet and exercise plan for a long period of time instead of quitting half way through.
Setting goals.";"Measuring body fat.
Looking on the mirror.";Female;United Kingdom;23;
11.28.2020 20:45:05;physical health;to improve overall well-being;mental health;thru functional validated instruments;Female;Pakistan ;25;
11.29.2020 8:01:29;Mobility;To be mobile, free and independent again ;To move more. ;Increased mobility would indicate an improvement. ;Female;South Africa;81;
11.30.2020 10:52:40;alcohol consumption;not meeting guidelines;external control, awareness;easy - counting;Female;Belgium;40;
11.30.2020 11:35:42;Direct and easy access to my own health data in  standardized digital format;To manage and have always available my own health data (anytime, anywhere);Eecorage to have applications and digital  services that allow me (and those I give authorization) to have access to my own data;Get my own data anytime and anywhere;Male;Portugal;55;
12.1.2020 9:32:25;Weight loss, being fit;To feel better;Diet, exercises, walks, hiking, biking;Do no, tracking activities, weight;Female;Belgium;39;
12.1.2020 9:39:33;Work-life balance;Work stress has an impact on private life;NA;NA;Female;Belgium;35;
12.1.2020 9:43:04;Mental health/well-being/have a more positive mind;Because it is difficult to realise how much stress can damage one's health;considering psycotherapy;Less stress, more positivity in my life;Female;Italy;23;
12.1.2020 9:46:34;headaches & anxiety;deteriorates my quality of life;be healthy with my body (eat well, do sport, sleep well...), etc;day to day experience & less headaches;Male;Belgium;33;
12.1.2020 9:49:15;mental health - be less anxious;causes disruptions to my day to day life;focus on other tasks to distract me from what I am anxious about, speak to someone else (friend, family member) about it to reassure me, breathing exercises;If I don't feel as panicked, and if I feel like I have calmed down and I don't feel as physically sick.;Female;Belgium;21;
12.1.2020 9:50:18;Exercise more;I do not do enough;in person classes (virtual or at home is not so effective :));participation rate;Female;Belgium;33;
12.1.2020 9:50:21;More exercise. Put my body in better shape;Back, neck and shoulder problems;Sport, back exercises such as pilates;Improved posture;Female;Belgium;57;
12.1.2020 9:50:22;Communication between all health professionals involved in my care. Create a network of interaction.;A better care. Make sure all health issues are taken into account by all health professionals (even if it is not their specialty). Make sure the patient does not have to double check with their other health professional to see if a medication/therapy is suitable with another health issue they might have.;Connecting my doctors but I don't believe this is my role.;I'd see an improvement in the way I'm cared for (providing medication and therapy).;Female;Belgium;25;
12.1.2020 10:03:06;Lower my resting heart rate;My family suffers from heart problems, I want to avoid the same problems later in my life and I want to avoid taking medicine to improve it;Exercise more often, practice mindfulness and breathing techniques to tackle stress and anxiety;I use a wearable device which measures my resting heart rate;Female;Belgium;34;
12.1.2020 14:51:40;Self awareness / self consciousness ;Increase level of consciousness, better cope with mental stress, more focus and attention ;Meditation, mindfulness ;more focus and attention ;Male;Belgium;34;
12.2.2020 8:26:14;Loosing weight;BMI is too high;Sport, adapting nutrition;Slow, but constantly;Male;Germany;41;
12.2.2020 10:49:50;Fitness;Long-term health;More regular exercise;Good;Male;Belgium;32;
12.2.2020 13:11:31;Fitness level;Since being physically fit correlates directly and very well with improving other factors in my health and well-being status (e.g. good heart health, management of stress and anxiety levels, etc);Finding time and motivation to do more physical activity;I would assess it through analysis of whether I feel physically stronger and resilient, no longer have shortness of breath doing physical activities. I would equally assess whether my anxiety and stress levels have become more manageable;Female;Portugal;43;
12.2.2020 14:19:49;Back and posture problems;I do a very sedentary work;better equipment and exercise;For not being in pain anymore ;Female;Belgium;36;
12.2.2020 21:01:43;Varicose Veins;"1. To improve blood circulation.
2. To prevent ulcers & rupture of varicose veins.";Walking and maybe there's a pill or treatment that will reduce unsightly varicose veins.;"If the veins are less unsightly then I will know that the treatment is working.
";Female;South Africa;57;
12.2.2020 21:29:56;Connect with more people in person (outdoors) but with social distancing;Humans are social animals and it is important to connect with others.;Be deliberate about meeting with people. Plan to meet with at least three people (outdoors) in person per week. Try to schedule the meetings two or more weeks in advance.;Check in 3-4 times per day on computer and have a scale of 1-5 related to how I am feeling in each of these areas - energy level, positive/negative, engagement, ;Female;US;54;
12.2.2020 21:32:16;Reduce pain having haemorrhoids;Because of lots of pain;Using cream, sitting bath, sit cushion;The question is not clear for me. How do I know that?;Female;Germany;36;
12.3.2020 4:58:29;Nutrition;I do not think I have any nutrition plan that could be making me have a weaker immune system. ;Trying to come up with a great nutrition plan with the help of a nutritionist.;By measuring weight or going to see a nutritionist. ;Male;Kenya;27;
12.3.2020 7:27:49;My body weight;It is 50 KG to high;Habits, sport and food;Difficult. I think apps could help but didn't work so far. At the moment I try an adaption of my habit with interim fastening.;Male;Germany;40;
12.3.2020 14:47:59;mindfully being present;because it impacts who i am and become;breathing, awareness. POZE paradigm and exercises ;POZE has been a major success element;Female;Germany;43;
12.3.2020 15:10:12;Weight loss/management;Overall health benefits and pre-existing conditions;Portion control, quality of food consumed, proper nutritional value, lower sugar content;Weight loss, lower blood pressure and glucose numbers;Male;US;53;
12.4.2020 12:03:49;be less angry(shout less);because it is exhausting and affects the relationships I have with other people negatively;meditate, take deep breaths, not take things so personally, monitor how often such outbreaks happen;the nr of angry outbreaks per week should go down;Female;Germany;26;
12.4.2020 18:37:21;Flexibility and muscle tightness;To be able to continue to do sports and feel less tired in the afternoons;Stretching exercises;If my muscles feel less tight. FYI, this is all realted to a long term back pain condition due to deteriorated discs in the lower back.;Male;US;57;
12.5.2020 3:37:26;Flexibility ;Too stiff;Stretching ;I wasn’t in pain;Male;US;50;
12.7.2020 9:29:36;Cardiovascular activity;It provides a protective shield for the immune system and improves better mental healthstate;Running. Running provides an excellent cardiovascular activity and it elevates your mood;I can measure it in real terms (heart rate, oxygen levels, stamina), it makes me have a better self perception and it improves my mood;Male;Greece;46;
12.8.2020 15:00:14;Exercise and mental health;I lost my mother I feel like am depressed and I have been doing alot of stress eating.Over time I have added so much weight I literally feel so heavy;For mental health I need someone who understands what am saying.;Weight loss;Female;Kenya;24;
12.8.2020 16:14:01;Fitness;To live healthy life and fit into my clothes;Be more active;I think I'll feel it, or see it in the mirror;Male;Germany;29;
12.8.2020 17:15:50;reduce stress;to work more productively and enjoy what I am doing;make a schedule that e.g. includes breaks and stick to it;questionnaire about mental well being and freely available time that results in a score;Female;Germany;23;
12.8.2020 17:43:27;Mindfulness;I think it might have the biggest impact on my productivity and wellbeing;Meditation, do one thing at a time;Daily/Weekly questionnaire on how I am feeling. Maybe see how it affects my sleep. I feel like this might be strongly correlated.;Male;Germany;25;
12.8.2020 17:59:47;More physical activity ;To be and feel healthy, to ensure my health and to prevent illnesses;Practice more physical activity ;testing my fitness ;Female;Germany;23;
12.8.2020 18:29:50;Mental health;Not really easy, hands-on process or methods like loosing weight;Journalling, Seeking advice, going for walks, reduce workload;Not really measurable, more qualitative like overall mood;Female;Germany;24;
12.8.2020 22:25:06;Get rid of my chronical muskuloskeletal diseases or at least control them;I will literally die if I don't;Do specific kinds of physical exercises as well as keeping my main muscular structure in good shape ;I visually see my body changes;Male;Germany;22;
12.8.2020 22:54:24;mental stress;mental well-being;maybe.. if i try to step away from my comouter and go fro runs. But its really hard to do that with increasing work and work pressure;I am always refreshed when i come back from a run and clear head helps me think better;Female;Germany;30;
12.8.2020 23:44:05;Back pain;I sit too long with the computer, often curved.;Switch positions, introduce breaks, add exercises (stretches, etc.);Feeling less tired and hurting at the end of the day.;Male;Germany;40;
12.9.2020 1:20:37;Better diet/healthier lifestyle;I realize I eat too much junk food and don't exercise enough for my age;I could cook more meals at home with veggies. I can walk every day and go to yoga classes again.;If I lost some weight and didn't feel tired all the time, I would know I made improvements.;Female;US;48;
12.9.2020 5:07:58;Overall mood.;I believe that would make me more productive and satisfied with whatever I do.;"Exercise; Diet ; Intake of water; Better management of relationships.";"Quality of relationships, Mood improvement; sense of well-being.";Male;US;58;
12.9.2020 6:03:54;Overall fitness (muscle, cardio vascular function);Muscle/cardio functions decline with age, to counterbalance the natural decay ;Gym classes with focus on dance elements (Zumba, hip hop, etc) running ;Less shortness of breath after climbing 3 flights of stairs,, better overall feeling (emotional, psychological) ;Female;Germany;43;
12.9.2020 9:13:25;Physical fitness;to improve my health and well-being;regularly do sports of different types (strength, endurance, agility);"With the number of training days, decreasing heart rate during exercise and low resting pulse; increased muscle build-up; increased mobility (e.g. greater angle that can be achieved when stretching; extreme example: I can do the splits at some point).";Male;Germany;23;
12.9.2020 11:10:26;Relaxation;I am stressed and high tension;get more sleep, take breaks, go for a walk;breathe deeply and slowly;Female;Germany;55;
12.9.2020 11:10:38;My Afib;To be healthy and confident;8 hours of sleep, reduce stress, exercise (QiGong, Walking, Jogging);No or less frequent arthymia;Male;Germany;62;
12.9.2020 11:29:20;Psychological Health;To be able to concentrate on all other aspects of my life.;" - Always try to involve me in some task.
 - Communication with friends and family
 - Doing voluntary work that brings comfort to the people (especially in the health sector)";NA;Male;Bangladesh;30;
12.9.2020 12:30:05;Resilience against work-related stress;For better sleep;Meditation;Survey in the morning;Female;Germany;28;
12.9.2020 15:06:29;nutrition ;I feel like it has such a big impact on my energy level;limit sugar, more greens;just assess my concentration during the day;Male;Germany;26;
12.9.2020 15:32:55;Lack of constant stomach ache;To feel confortable;Good nutrition, drinking a lot of water, taking medicine;It happens that the stomach ache reduces but appears later;Male;Kenya;21;
12.9.2020 15:48:00;Lose weight ;Improve overall quality of life and reduce long term health risk ;Diet management and exercise. Watch my macros and eat within a limited time frame. ;Visually, looking at the mirror.Clothes will start fitting better. ;Male;India;41;
12.9.2020 18:39:08;Sleeping habits;Sleep is important;Change schedule, re-arrange tasks before bedtime.;Time to sleep and actual sleep time.;Male;US;50;
12.9.2020 21:54:33;Better endurance when running;For work;Treadmill running;The Beep Test (Shuttle Run) results being improved. ;Male;Canada ;24;
12.9.2020 21:58:35;More active lifestyle ;Too sedentary ;Working out, cardio, walking ;Minutes per day active, steps per day on my FitBit;Female;Canada ;24;
12.10.2020 4:49:21;Increase sense of wellbeing/decreased depression;Increased depression after the passing of my wife and son diagnosed with OCD;Meditation practice, counselling, regular exercise, comfort animal (dog), adequate sleep, good nutrition, engaging work;I track my general sense of wellbeing and depression, as well as activities on an ongoing basis in ZoeInsights, and can analyze what is working and what isn't;Male;Canada ;54;
12.10.2020 13:06:17;level of energy;I can participate in more activities I enjoy doing;adequate sleep, eat healthy food, regular movements, optimistic attitude;that I don't feel tired, more flow time, eager to get up and get  going every morning;Female;US;64;
12.10.2020 21:53:55;Residual Fatigue;To get back to a more active me;Antidepressions, Sport, nutrition, connection;Hours I am able to stay active doing necessary things vs amount of time I need to rest;Female;Germany;30;
12.11.2020 6:49:31;Oncology;There is increase of cancer patient in Kenya. Many go for treatment in India;Cancer Awareness creation ;Awareness  will help people know there cancer status early hence get help at early stage;Male;Kenya;53;
12.11.2020 6:50:17;Oncology department;Cancer patients are not being attended to effectively due to lack of encologists and machines in most facilities in Kenya; By forwarding our supplications to the concerned department.;If feedback is given.Altenatively, if a step is demonstrated by the concerned department in improving the facilities.;Female;Kenya;51;
12.11.2020 10:50:13;To be able to recognise deceases early;To stay healthy;Blood analysis every 6 months;Probably yes;Male;Germany;34;
12.11.2020 15:32:17;Sport ;i don't do enough always sitting at my office;"go running alone ( but i don't like that)
find so to run with
work less to get a sport lesson
trying to follow a time schedule ( really hard alone)";"anxiousless
better energy ";Female;France;43;
12.12.2020 0:53:16;Reduce workplace burnout ;A PhD is a long endeavour and I would like to make sure that I don’t burnout before I finish. ;Setting a schedule to include time for myself/improving work-life balance, making more realistic daily to-do lists, engage in more extracurricular activities ;If I can continue to work for an entire calendar year without having the feeling of wanting to give up due to a feeling of being overwhelmed with research ;Male;Canada ;23;
12.18.2020 20:21:07;Blood sugar;Avoid complications;Reduce carb intake, exercise, drink water;A1C blood test;Female;US;49;
12.22.2020 22:09:00;Fitness;Medical reasons;Go to a gym and use the treadmill, outside jogging/sport;Try to beat previous records and then compare it to old ones, do I have the same heart rate at a higher pace? -> Improved ;Male;Germany;18;
